Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
PRODELEC NA,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée locale,2011,"Route de la plage km13 Ariana Tunisie، Raoued 2056, Raoued, Ariana, 2056 Tunisie",https://www.prodelecna.com/
KADI DISTRIBUTION,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"RTE MEZEL KAMEL, Jemmal, Monastir, None Tunisie",
ORIENT TEA,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"km6 route de khlidiya Naassen, Ben Arous, Ben Arous, 1135 Tunisie",
ALMA CONSULTING,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"184 av Jaafer Route Raoued KM5, Raoued, Ariana, None Tunisie",
DPS LASER,industrie métalliques,Moins de 20 employés,Société privée locale,,"MGHIRA, Fouchana, Ben Arous, None Tunisie",
HKCONSULTING,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,2017,"Menzah 6, cité Jamil, Bloc E,, Ariana Ville, Ariana, 2091 Tunisie",
MKG- CONCEPT,communication / publicité / média,Entre 20 et 100 employés,Société privée locale,,"rue du lac turrkhana, Centre ville, Tunis, 1053 Tunisie",
AMMEN GAMES ABRACADABRA,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"CENTRE IKRAM EL MENZAH 7 ARIANA, Ariana Ville, Ariana, None Tunisie",
ENTREPRISE GENERALE DE TRAVAUX ET DE CONSTRUCTION,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"boumhel cité BELAIR, Bou Mhel El Bassatine, Ben Arous, 2097 Tunisie",
DJO-TN,autres,Entre 200 et 500 employés,Société privée étrangère,,"Zone Poudriére 1. Sfax 3000, Sfax Ville, Sfax, None Tunisie",
SOCIETE OPI NORD,commerce / vente / distribution,Entre 20 et 100 employés,Société privée étrangère,,"AVENUE, Sousse Ville, Sousse, None Tunisie",
SOLVARISK SARL,banque / finance / assurances,Moins de 20 employés,Société privée étrangère,,"Centre Ines, Bvd Mohamed Caid Essebssi, Cite El Khadra, Tunis, None Tunisie",
TICD,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Société privée locale,,"2036, La Soukra, Ariana, None Tunisie",
PALMA,industrie métalliques,Entre 100 et 200 employés,Société privée locale,,"TUNIS BIR MCHERGA, Bir Mcherga, Zaghouan, None Tunisie",
TEPTAC SERVICES,informatique / télécoms,Moins de 20 employés,Société privée locale,,"LAFAYETTE, Centre ville, Tunis, None Tunisie",
COMPAREZASSUREZ.FR,call center / télévente,Entre 100 et 200 employés,Société privée étrangère,,"Barcelone , 06 rue El Hijaz, 1073 Tunis, Centre ville, Tunis, None Tunisie",
MODA SQUARE,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,,"ENNASR, La Soukra, Ariana, 2080 Tunisie",
CLINQUE JUGURTHA,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"134 AVENUE JUGURTHA TUNIS, El Menzah, Tunis, 1002 Tunisie",
AMARANTE,cosmétique / parfumerie / luxe,Moins de 20 employés,Société privée locale,,"ZI .Sidi daoud la marsa, La Marsa, Tunis, None Tunisie",
DERINTON TUNISIE.,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,,"28 AVENUE TAHER BEN AMMAR EL MENZEH 9, El Menzah, Tunis, None Tunisie",
AKWEL SERVICES TUNISIE,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée étrangère,,"Zone Industrielle Ennaser, Route de Tabarka, Mateur, Bizerte, 7030 Tunisie",
LABORATOIRE DR ALIA MANSOUR,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"Ennasr 2, Ariana Ville, Ariana, None Tunisie",
TUNISIA EVAL TRAVEL,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"rue d'iran lafayette tunis, Centre ville, Tunis, None Tunisie",
TUI BLUE PALM BEACH PALACE,tourisme / hôtellerie / restauration / loisirs,Entre 200 et 500 employés,Société privée étrangère,,"HOUMET SOUK, Houmet Essouk, Médenine, 4180 Tunisie",
TAZART,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"09 Rue mercure zone industrielle Ben Arous, Ben Arous, Ben Arous, 2013 Tunisie",
NG-MULTIMEDIA SARL,informatique / télécoms,Moins de 20 employés,Société privée locale,,"26 rue Abdelaziz Thaalbi, El Menzah, Tunis, None Tunisie",
NEWREST,tourisme / hôtellerie / restauration / loisirs,Plus de 500 employés,Société privée étrangère,,"Les jardins du Lac Tunis, La Goulette, Tunis, None Tunisie",
FERRAND CONSEILS,comptabilité / gestion / audit,Moins de 20 employés,Société privée étrangère,,"5 PLACE PASTEUR, Centre ville, Tunis, None Tunisie",
ASSURZEN,banque / finance / assurances,Entre 20 et 100 employés,Société privée étrangère,,"24 Rue Ibn Charaf, Centre ville, Tunis, 1000 Tunisie",
SIMATRA,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée locale,2010,"Z. I. JBEL EL OUEST - BP N°36 - 1111 - ZAGHOUAN - TUNISIE, Bir Mcherga, Zaghouan, 1111 Tunisie",http://www.simatratunisie.com/
MARHABABIK,enseignement / formation / puériculture,Moins de 20 employés,Société privée étrangère,,"46 Rue Ib Charaf, Cite El Khadra, Tunis, 1002 Tunisie",http://www.marhababik.com
ENTREPRISE BEN MOKHTAR,architecture / immobilier / BTP,Entre 20 et 100 employés,Société privée locale,2008,"riadh landalous, Ariana Ville, Ariana, 2000 Tunisie",
KERNEL,informatique / télécoms,Entre 20 et 100 employés,Société privée étrangère,,"4 Rue Jean Macé, Paris, Europe, None France",
EFFIOS EXPERTISE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Résidence azur les berges du lac, La Medina, Tunis, None Tunisie",
MASELEC,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"48 RUE D'IRAN LAFAYETTE Belvedere, Centre ville, Tunis, None Tunisie",
CANDELA,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,,"Route Lafrane km 3.5, Imm Yosr App. 4-5, Sfax Sud, Sfax, None Tunisie",
MME- MEDITERRENAN MERCANTILE EXCHANGE,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"07 RUE ELMOEZ, TUNIS, TUNIS, None Tunisie",
WOODTODO,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"Rue Dali Jazi, Nabeul, Nabeul, None Tunisie",
SKY TEAM TRAVEL,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"40 rue du lac léman imm lago, El Kram, Tunis, None Tunisie",
OZONE,autres,Moins de 20 employés,Société privée locale,,"ras jebel, Ras Jebel, Bizerte, None Tunisie",
PERPETUAL CODE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"CITÉ El GHAZALA EL OMRANE 10 Appartement Cl4 4ème étage ARIANA-TUNISIE., Ariana Ville, Ariana, 2083 Tunisie",
LA JOIE DE HICHA,agriculture / agro-alimentaire / environnement,Plus de 500 employés,Société privée étrangère,,"Immeuble Omaima, 3ème étage, Bureau n°08, Rue Al Mongi Selim, 6000 Gabes, El Metouia, Gabes, None Tunisie",
SOCIÉTÉ DICK ELEVAGE _GROUPE POULINA,agriculture / agro-alimentaire / environnement,Plus de 500 employés,Société privée locale,,"GP1 Km12 EZZAHRA, Bou Mhel El Bassatine, Ben Arous, None Tunisie",
SARTEX,autres,Plus de 500 employés,Société privée locale,,"Zone Industrielle Bouhjar 5015, Ksar Helal, Monastir, None Tunisie",
MUTUELLE NATIONALE DE L ENSEIGNEMENT DE TUNISIE,banque / finance / assurances,Moins de 20 employés,Société privée locale,,"38 Avenue de Paris, Centre ville, Tunis, None Tunisie",
SWOT BUSINESS,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"Sousse Sahloul 3 rue Amsterdam immeuble Haboub, Sousse Jaouhara, Sousse, 4054 Tunisie",https://www.facebook.com/ste.swot.business/
STCDS,autres,Entre 20 et 100 employés,Société privée locale,,"5-7 Khartoum Tunis, Cite El Khadra, Tunis, None Tunisie",
SEPT SUR SEPT DISPATCHING&LOGISTIC,transport / logistique,Entre 20 et 100 employés,Société privée étrangère,,"résidence el faouz lac 2, La Marsa, Tunis, 1053 Tunisie",
RIADH PALMS RESORT AND SPA,tourisme / hôtellerie / restauration / loisirs,Entre 200 et 500 employés,Société privée locale,,"Boulevard 14 January-4039 Sousse Tunisia, Sousse Ville, Sousse, None Tunisie",
TASSIR NEGOCE,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Société privée locale,,"GP1KM34 SAMECH GROMBALIA, Fouchana, Ben Arous, None Tunisie",
BLAUWTRUST TUNISIA,banque / finance / assurances,Entre 20 et 100 employés,Société privée étrangère,,"Résidence les Jardins du Lac, Lac 2  Lot numéro 6.4.1  , 1090 Tunis, La Marsa, Tunis, None Tunisie",
COSMA PLUS,cosmétique / parfumerie / luxe,Entre 20 et 100 employés,Société privée locale,,"RUE JAZIRA CENTRE VILLE, Centre ville, Tunis, 1001 Tunisie",
BUISINESS SOLUTIONS,recrutement / ressources humaines,Moins de 20 employés,Société privée locale,,"4ème Etage، Immeuble Marwa, Yasser Arafat Ave, Sousse 405, Sousse Jaouhara, Sousse, None Tunisie",
CLAYENS TUNISIA SERVICES,recrutement / ressources humaines,Moins de 20 employés,Société privée étrangère,2022,"Rue de Gafsa, 2082, Z.I. El Mghira III, Fouchana, Ben Arous, 2082 Tunisie",
ROCKE2T,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,,"ZI MGHIRA, Fouchana, Ben Arous, 1035 Tunisie",
MONTAZAH HAMMAMET SUD  EDEN YASMINE HOTEL AND SPA,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"Yasmine Hammamet, Hammamet, Nabeul, 8057 Tunisie",
CALL IN CALL OUT,call center / télévente,Moins de 20 employés,Société privée étrangère,,"Imm Wejdene Center Khzema Ouest Sousse, Hammam Sousse, Sousse, None Tunisie",
CABINET ATEF MTIBAA CAM,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,2008,"immeuble Rayhana bloc B MEZZANINE N 06 SFAX AL JADIDA, Sfax Ville, Sfax, 3027 Tunisie",
ARSENAL BACHE,industrie métalliques,Entre 20 et 100 employés,Société privée locale,,"ZI JBEL JELLOUD TUNIS, Jebel Jelloud, Tunis, 1001 Tunisie",
THIRDEYE GROUP,consulting / étude / stratégie,Entre 20 et 100 employés,Société privée locale,,"Rue des émeraudes Lac 2, El Kram, Tunis, None Tunisie",
UNIVERSAL MARINE BUSINESS,autres,Entre 20 et 100 employés,Société privée locale,,"Zone industrielle Menzel Jemil, Menzel Jemil, Bizerte, None Tunisie",
YALLA EXPERIENCE,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"102 CXE Galaxie 2000, Centre ville, Tunis, None Tunisie",
S.A.M.I,industrie électro-mécaniques,Entre 20 et 100 employés,Société privée locale,,"ZONE INDUSTRIEL , BEN AROUS, Ben Arous, Ben Arous, None Tunisie",
RENT A CAR,transport / logistique,Moins de 20 employés,Société privée locale,,"La marsa-Bhar Lazreg, La Marsa, Tunis, 2070 Tunisie",https://www.bing.com/ck/a?!&&p=9a38e6455df0f133JmltdHM9MTY4NDQ1NDQwMCZpZ3VpZD0xNjRiZTYxZS1kYjk1LTZlNDQtMzhlZi1mNTE4ZGY5NTZjM2MmaW5zaWQ9NTIwMw&ptn=3&hsh=3&fclid=164be61e-db95-6e44-38ef-f518df956c3c&psq=salem+Tunisie&u=a1aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL1NhbGVtQXBwLw&ntb=1
KHADRAOUI TEK,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,2003,"Av. Habib Bourguiba, Bizerte Nord, Bizerte, 7000 Tunisie",https://khadraouitek.tn
PMP,autres,Entre 20 et 100 employés,Société privée locale,,"ZONE INDUSTRIELLE UTIQUE, Utique, Bizerte, None Tunisie",
SNA,agriculture / agro-alimentaire / environnement,Entre 200 et 500 employés,Société privée locale,,"zone industrielle borj cedria ben arous, Ben Arous, Ben Arous, None Tunisie",
EURL KEY TO SUCCESS TN,call center / télévente,Moins de 20 employés,Société privée locale,,"LAFAYETTE TUNIS, Centre ville, Tunis, None Tunisie",
NEXANS ASSEMBLAGE CABLE TUNISIE,automobile / moteurs / engins mécaniques,Plus de 500 employés,Société privée étrangère,2022,"Route de Tunis KM6 ,  Dhari-TN , Soliman, Soliman, Nabeul, 8020 Tunisie",
DELTA GRAFIX,industrie métalliques,Moins de 20 employés,Société privée locale,,"RUE METLAOUI Z.I. SAINT GOBAIN, Megrine, Ben Arous, None Tunisie",
AGENCE IMMOBILIERE LA CARRE 9,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"Ain Zaghouan Nord, La Marsa, Tunis, None Tunisie",
LIBRAIRIE EL MOEZ,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"4, Rue El Moez, Menzah1, El Menzah, Tunis, None Tunisie",
BODY COBRA,gardiennage / sécurité / maintenance,Entre 200 et 500 employés,Société privée locale,,"7 novembre immeuble el bocher 2, Sfax Ville, Sfax, 3021 Tunisie",
CLINIQUE OPHTALMOLOGIQUE DE TUNIS,santé / paramédical / optique,Entre 100 et 200 employés,Société privée locale,,"Voie X2, Cite El Khadra, Tunis, None Tunisie",
LABORATOIRES TETRA HYGIENE,chimie / biologie / physique,Entre 20 et 100 employés,Société privée locale,,"bp 106, Bir Mcherga, Zaghouan, None Tunisie",
SRA INTÉGRATION,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"Promed Building, Bloc B, 7ème étage, Centre Urbain Nord, Cite El Khadra, Tunis, None Tunisie",
INFRAWAY,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Cléopâtre Center urbain nord, Tunis 1003, Ariana Ville, Ariana, None Tunisie",
ADHE-ELS,chimie / biologie / physique,Entre 200 et 500 employés,Société privée locale,,"Km 128 Zone Industrielle Kalaa Kébira, Kalaa El Kebira, Sousse, None Tunisie",
LASSAYE TRADE,commerce / vente / distribution,Moins de 20 employés,Société privée étrangère,,"Rue de Chatt Hamme Sousse, Hammam Sousse, Sousse, None Tunisie",
ESPACE WAHIBA,cosmétique / parfumerie / luxe,Entre 100 et 200 employés,Société privée locale,,"route de ceinture elkantaoui, Hammam Sousse, Sousse, None Tunisie",
FBJ CONSULTING,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"24 avenue cyrus le grand, Centre ville, Tunis, 1002 Tunisie",http://fbjconsultingadm@gmail.com
ARANIACOM,communication / publicité / média,Moins de 20 employés,Société privée locale,,"Résidence Ferdaous, 1er étage Ap 3, Route de Bizerte, El Mnihla, Ariana, Tunisia, Mnihla, Ariana, 2080 Tunisie",
PROSECURITE,gardiennage / sécurité / maintenance,Entre 200 et 500 employés,Société privée locale,,"BARDO, Le Bardo, Tunis, None Tunisie",
GO-MAKKAH,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"Rue du Lac Biwa, Tunis، Immeuble Galerie du Lac, Tunis 1053, La Marsa, Tunis, 0 Tunisie",
MABROUK DIFFUSION,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,1992,"Adresse siège: Rue Lac Mazurie, 1053 Les Berges du Lac 1, La Marsa, Tunis, 1053 Tunisie",
AGENZ,agriculture / agro-alimentaire / environnement,Moins de 20 employés,Société privée locale,,"Boumhel, Bou Mhel El Bassatine, Ben Arous, 1035 Tunisie",
NEW GOLDEN KRISPYS,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Société privée locale,,"ZI DJBEL OUEST BIR MCHERGUA ZAGHOUAN, Bir Mcherga, Zaghouan, None Tunisie",
UCANBE,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Avenue la perle du sahel, Hammam Sousse, Sousse, 4051 Tunisie",
TRANSKOMED,transport / logistique,Moins de 20 employés,Société privée locale,,"rades, Rades, Ben Arous, None Tunisie",
SOTRAGES,architecture / immobilier / BTP,Entre 100 et 200 employés,Société privée locale,,"MENZAH 4, El Menzah, Tunis, None Tunisie",
APHRODITE LABORATOIRES,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"7 Rue Ouzbekistan Ennasr 1, Ariana Ville, Ariana, None Tunisie",
COLLE TUNISIE,autres,Entre 20 et 100 employés,Société privée locale,,"ROUTE GABES KLM 6, Sfax Sud, Sfax, None Tunisie",
BELS,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"MANOUBA 2010, Mannouba, La Manouba, None Tunisie",
THE GATE,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"LOT 715 BERES DU LAC 2, La Marsa, Tunis, None Tunisie",
TUNISIE PROTECTION ET GARDIENNAGE,gardiennage / sécurité / maintenance,Entre 100 et 200 employés,Société privée locale,,"92 avenue louis braille, Cite El Khadra, Tunis, None Tunisie",
LABORATOIRE THERAPIA,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"Avenue nabeul - Dar chaaben el fehri, Dar Chaabane Elfehri, Nabeul, None Tunisie",
SAFINA TELECOMMUNICATION,call center / télévente,Entre 20 et 100 employés,Société privée locale,,"20 rue chedly kallela 1001, Centre ville, Tunis, None Tunisie",
LESPORTIF,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"Rue Fatouma Bourguiba, La Soukra, Ariana, None Tunisie",
UNIVERSITÉ MAHMOUD EL MATERI,enseignement / formation / puériculture,Entre 20 et 100 employés,Société privée locale,,"Montaplaisir, El Menzah, Tunis, None Tunisie",
AROUS GHARSALLAH,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"5 Avenue de la liberté Menzah 5, Ariana Ville, Ariana, None Tunisie",
SAFETY MAX,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"ENNASR 2, Ariana Ville, Ariana, None Tunisie",
YOUR TEAM IN TUNSIA,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"40  Avenue Hedi Chaker, Hammamet, Nabeul, None Tunisie",
TRANSGLORY TUNISIE,transport / logistique,Entre 20 et 100 employés,Société privée étrangère,,"zone portuaire, Rades, Ben Arous, None Tunisie",
COMPLEXE DE LOISIR HANNIBAL PARK,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,2001,"El Kantaoui, Hammam Sousse, Sousse, 4089 Tunisie",http://www.hannibalpark.com
ILC AFTER SCHOOL,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,2017,"Menzah 5, Ariana Ville, Ariana, 2091 Tunisie",
CLÉ DOR IMMOBILIER,architecture / immobilier / BTP,Moins de 20 employés,Société privée locale,,"les berges du lac, La Marsa, Tunis, None Tunisie",
JOUD CONSULTING,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"avenue Habib Bourguiba immeuble intileka M11, Sfax Ville, Sfax, 3000 Tunisie",
METAL BUILDING,industrie métalliques,Moins de 20 employés,Société privée locale,,"ROUTE DE KONDAR KM 16 KALAA KEBIRA, Kalaa El Kebira, Sousse, 3000 Tunisie",
CSC,cosmétique / parfumerie / luxe,Entre 200 et 500 employés,Société privée locale,,"Z I charguia 1, Cite El Khadra, Tunis, 2035 Tunisie",
INSTITUT DES HAUTES ETUDES TECHNIQUES,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,,"3 beyrouth,lafayette 1002 Tunis, Bab Bhar, Tunis, None Tunisie",
LMP,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"Z.I FAHS ZAGHOUAN ROUTE DE TUNIS, El Fahs, Zaghouan, None Tunisie",
HAMELIN,autres,Entre 200 et 500 employés,Société privée étrangère,2019,"-Hamelin sarl, Z.I pôle compétivité de Sousse, 4030 Enfidha – Tunisie, Enfidha, Sousse, 4030 Tunisie",
FIDELIZI,communication / publicité / média,Moins de 20 employés,Société privée locale,,"Av d'afrique el menzah 5, El Menzah, Tunis, None Tunisie",
CARTHAGE RECOUVREMENT,droit / fiscalité,Moins de 20 employés,Société privée locale,,"7 rue ibn jazar lafayette, Centre ville, Tunis, None Tunisie",
HABELI,architecture / immobilier / BTP,Moins de 20 employés,Société privée étrangère,2023,"9 Rue Abderrahman Mami, El Menzah, Tunis, 2080 Tunisie",https://dogesadb.fr/
ECOWEBY,informatique / télécoms,Moins de 20 employés,Société privée locale,,"02 rue Ibn Abdoun, rue de Marseille, Centre ville, Tunis, None Tunisie",
SBCOM,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,,"Hrairia tunis, El Hrairia, Tunis, None Tunisie",
TRAGEDEL,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,,"L’Élysée, 1 er étage, rue ghar elmelh, Les berges du Lac 1, La Marsa, Tunis, 1053 Tunisie",
SCREENTECH,informatique / télécoms,Moins de 20 employés,Société privée locale,,"Rue abou tammem cité de jardins, La Marsa, Tunis, 1082 Tunisie",
OPENBEE,informatique / télécoms,Entre 20 et 100 employés,Société privée locale,,"Tunis, Tunisie, Nabeul, Nabeul, None Tunisie",
TRUTH,agriculture / agro-alimentaire / environnement,Entre 100 et 200 employés,Société privée locale,,"DJEBEL OUST, Bir Mcherga, Zaghouan, 1100 Tunisie",
ARTILASER,industrie métalliques,Entre 20 et 100 employés,Société privée locale,,"Route Mahdia Km 13 Sfax, Sakiet Eddaier, Sfax, 3011 Tunisie",
GOLD EXPERIENCES,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"Rue Boumessouer Route de l’aéroport Houmt Souk Djerba 4180 –Tunisia, Houmet Essouk, Médenine, None Tunisie",
PHONIE MOTORS,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"ZI Saint Gobain Mégrine Tunis, Megrine, Ben Arous, 1035 Tunisie",
AL MAJD,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"ROUTE FADHLINE, Teboulba, Monastir, 4000 Tunisie",
PROMODAR,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,2001,"zone industrielle M'ghira, Ben Arous, Ben Arous, 2082 Tunisie",
1 WAY COMMUNICATION,call center / télévente,Plus de 500 employés,Société privée locale,,"61, bis av. De l'UMA imm. ENNESRINE 1er étage, Ariana, Tunisia, La Soukra, Ariana, None Tunisie",
OFFICE CITY NABEUL,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Avenue Ali Belhouene - 8000 Nabeul, Nabeul, Nabeul, None Tunisie",
COSMO CALL,call center / télévente,Entre 20 et 100 employés,Société privée locale,,"142 avenue louis braille cité el khadhra, Cite El Khadra, Tunis, None Tunisie",
VN SERVICE ET CONSEIL,call center / télévente,Entre 20 et 100 employés,Société privée locale,,"28 Av Khair-Eddine Pacha, Cite El Khadra, Tunis, None Tunisie",
SOQUB,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Vite nozha, Menzel Jemil, Bizerte, None Tunisie",
ETAP,autres,Moins de 20 employés,Société privée locale,,"Zone Industrielle KASAR SAID, Douar Hicher, La Manouba, 2086 Tunisie",
MAINTENANCE COMPOSITE CATAMARANS,autres,Entre 20 et 100 employés,Société privée étrangère,,"Manzel Bourguiba, Menzel Bourguiba, Bizerte, 7050 Tunisie",
TANDEM TRAINING CENTER,enseignement / formation / puériculture,Entre 20 et 100 employés,Société privée locale,,"03 rue ibn koutaiba cité jardins, El Menzah, Tunis, 1002 Tunisie",
TEAMFORCE,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"1 AV HEDI KAFACHA B6 L'ARIANA, Centre ville, Tunis, None Tunisie",
RIVEZLI,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,,"centre urbain nord, Ariana Ville, Ariana, None Tunisie",
HOTEL BARCELO CONCORDE GREEN PARK PALACE,tourisme / hôtellerie / restauration / loisirs,Entre 200 et 500 employés,Société privée locale,,"BP 95 port el kantaoui sousse, Sousse Ville, Sousse, None Tunisie",
SPEEGAR,consulting / étude / stratégie,Entre 20 et 100 employés,Société privée étrangère,,"3 rue de reims  93160 noisy le grand, Paris, Ile de France, None France",
BERLITZ TUNISIE,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,,"Centre le Millenium, le Relais, La Marsa, Tunis, 2045 Tunisie",
PRO LEGAL KNOWLEDGE PLK,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,,"22,Rue Emir Abdelkarim, Mutuelle ville Tunis, El Menzah, Tunis, 1082 Tunisie",
CORPO TRAD,journalisme / traduction / édition,Moins de 20 employés,Société privée étrangère,,"60 rue François Ier, Paris, Ile de France, 75008 France",
CHERY INTERNATIONAL,automobile / moteurs / engins mécaniques,Entre 100 et 200 employés,Société privée locale,,"Z.I Borj Ghorbel Ben Arous, Ben Arous, Ben Arous, 2033 Tunisie",
M3S SOLUSTIOS,consulting / étude / stratégie,Entre 20 et 100 employés,Société privée locale,,"2 immeuble Omrane , Rue de usines , sidi rzig ., Megrine, Ben Arous, None Tunisie",
LANCEME,call center / télévente,Entre 20 et 100 employés,Société privée locale,,"3 BIS RUE IBNO BACHKOUIAL 1ER ETAGE APP 3 BORJ LOUIZIR, 2080 ARIANA MEDINA, Ariana Ville, Ariana, None Tunisie",
SOCIETE TOURISTIQUE TOUR KHALEF SOUSSE,tourisme / hôtellerie / restauration / loisirs,Entre 200 et 500 employés,Société privée locale,,"BOULEVARD 14 JANVIER 2011, Sousse Ville, Sousse, None Tunisie",
POLE VISION,santé / paramédical / optique,Moins de 20 employés,Société privée locale,,"90.AV HABIB THAMEUR, Nabeul, Nabeul, None Tunisie",
CONSTENCY HC TUNISIA,consulting / étude / stratégie,Moins de 20 employés,Société privée étrangère,,"Golden Towers, centre urbain nord, Tunis, Centre ville, Tunis, None Tunisie",
FRESENIUS KABI,santé / paramédical / optique,Entre 200 et 500 employés,Société privée étrangère,,"Beni Khalled Nabeul, Beni Khalled, Nabeul, 8000 Tunisie",
SOCIETE TUNISIE INSPIRATION MARBRE TIM,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,,"47 AVENUE FATOUMA BOURGHUIBA LA SOUKRA, La Soukra, Ariana, None Tunisie",
WEWIRE,automobile / moteurs / engins mécaniques,Plus de 500 employés,Société privée étrangère,,"route jdidi sidi hammed, Hammamet, Nabeul, None Tunisie",
MSD,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,2019,"Ain zaghouan Nord, La Marsa, Tunis, 2046 Tunisie",http://www.msd.com.tn
BUREAU INTERNATIONAL AFRICAIN DE TUNISIE,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"1 Rue du Train , Rades, Tunis 2098, Rades, Ben Arous, 2098 Tunisie",
VIPDOMAINE,informatique / télécoms,Moins de 20 employés,Société privée locale,,"32 avenue habib bourguiba, Ariana Ville, Ariana, None Tunisie",
SANABEL ADVANCED DE DISTRIBUTION,commerce / vente / distribution,Moins de 20 employés,Société privée locale,2020,"zaouiet sousse, Sousse Ville, Sousse, 4082 Tunisie",
PARTIE DOUBLE CONSULTING,consulting / étude / stratégie,Moins de 20 employés,Société privée locale,,"Avenue de l'environnement la Soukra 2073, La Soukra, Ariana, None Tunisie",
PANORIENT,tourisme / hôtellerie / restauration / loisirs,Entre 20 et 100 employés,Société privée locale,,"immeuble tanit les berges de lac 2, La Goulette, Tunis, 1053 Tunisie",
SEWS-TN,automobile / moteurs / engins mécaniques,Plus de 500 employés,Société privée étrangère,,"Sahline, Sahline, Monastir, None Tunisie",
LD ETUDES,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée étrangère,2023,"tunis mutuelle ville, Centre ville, Tunis, 1082 Tunisie",
